Date,SP500,FTSE100,HSI,Nikkei225
2021-04-02,,,,29854.0
2021-04-05,,4077.909912109375,,30089.25
2021-04-06,6823.60009765625,4073.93994140625,,29696.630859375
2021-04-07,6885.2998046875,4079.949951171875,28674.80078125,29730.7890625
2021-04-08,6942.2001953125,4097.169921875,29008.0703125,29708.98046875
2021-04-09,6915.7998046875,4128.7998046875,28698.80078125,29768.060546875
2021-04-12,6889.10009765625,4127.990234375,28453.279296875,29538.73046875
2021-04-13,6890.5,4141.58984375,28497.25,29751.609375
2021-04-14,6939.60009765625,4124.66015625,28900.830078125,29620.990234375
2021-04-15,6983.5,4170.419921875,28793.140625,29642.689453125
2021-04-16,7019.5,4185.47021484375,28969.7109375,29683.369140625
2021-04-19,7000.10009765625,4163.259765625,29106.150390625,29685.369140625
2021-04-20,6859.89990234375,4134.93994140625,29135.73046875,29100.380859375
2021-04-21,6895.2998046875,4173.419921875,28621.919921875,28508.55078125
2021-04-22,6938.2001953125,4134.97998046875,28755.33984375,29188.169921875
2021-04-23,6938.60009765625,4180.169921875,29078.75,29020.630859375
2021-04-26,6963.10009765625,4187.6201171875,28952.830078125,29126.23046875
2021-04-27,6945.0,4186.72021484375,28941.5390625,28991.890625
2021-04-28,6963.7001953125,4183.18017578125,29071.33984375,29053.970703125
2021-04-29,6961.5,4211.47021484375,29303.259765625,29053.970703125
2021-04-30,6969.7998046875,4181.169921875,28724.880859375,28812.630859375
2021-05-03,6969.7998046875,4192.66015625,28357.5390625,28812.630859375
2021-05-04,6923.2001953125,4164.66015625,28557.140625,28812.630859375
2021-05-05,7039.2998046875,4167.58984375,28417.98046875,28812.630859375
2021-05-06,7076.2001953125,4201.6201171875,28637.4609375,29331.369140625
2021-05-07,7129.7001953125,4232.60009765625,28610.650390625,29357.8203125
2021-05-10,7123.7001953125,4188.43017578125,28595.66015625,29518.33984375
2021-05-11,6948.0,4152.10009765625,28013.810546875,28608.58984375
2021-05-12,7004.60009765625,4063.0400390625,28231.0390625,28147.509765625
2021-05-13,6963.2998046875,4112.5,27718.669921875,27448.009765625
2021-05-14,7043.60009765625,4173.85009765625,28027.5703125,28084.470703125
2021-05-17,7032.89990234375,4163.2900390625,28194.08984375,27824.830078125
2021-05-18,7034.2001953125,4127.830078125,28593.810546875,28406.83984375
2021-05-19,6950.2001953125,4115.68017578125,28593.810546875,28044.44921875
2021-05-20,7019.7998046875,4159.1201171875,28450.2890625,28098.25
2021-05-21,7018.10009765625,4155.85986328125,28458.439453125,28317.830078125
2021-05-24,7051.60009765625,4197.0498046875,28412.259765625,28364.609375
2021-05-25,7029.7998046875,4188.1298828125,28910.859375,28553.98046875
2021-05-26,7026.89990234375,4195.990234375,29166.009765625,28642.189453125
2021-05-27,7019.7001953125,4200.8798828125,29113.19921875,28549.009765625
2021-05-28,7022.60009765625,4204.10986328125,29124.41015625,29149.41015625
2021-05-31,7022.60009765625,4204.10986328125,29151.80078125,28860.080078125
2021-06-01,7080.5,4202.0400390625,29468.0,28814.33984375
2021-06-02,7108.0,4208.1201171875,29297.619140625,28946.140625
2021-06-03,7064.39990234375,4192.85009765625,28966.029296875,29058.109375
2021-06-04,7069.0,4229.89013671875,28918.099609375,28941.51953125
2021-06-07,7077.2001953125,4226.52001953125,28787.279296875,29019.240234375
2021-06-08,7095.10009765625,4227.259765625,28781.380859375,28963.560546875
2021-06-09,7081.0,4219.5498046875,28742.630859375,28860.80078125
2021-06-10,7088.2001953125,4239.18017578125,28738.880859375,28958.560546875
2021-06-11,7134.10009765625,4247.43994140625,28842.130859375,28948.73046875
2021-06-14,7146.7001953125,4255.14990234375,28842.130859375,29161.80078125
2021-06-15,7172.5,4246.58984375,28638.529296875,29441.30078125
2021-06-16,7185.0,4223.7001953125,28436.83984375,29291.009765625
2021-06-17,7153.39990234375,4221.85986328125,28558.58984375,29018.330078125
2021-06-18,7017.5,4166.4501953125,28801.26953125,28964.080078125
2021-06-21,7062.2998046875,4224.7900390625,28489.0,28010.9296875
2021-06-22,7090.0,4246.43994140625,28309.759765625,28884.130859375
2021-06-23,7074.10009765625,4241.83984375,28817.0703125,28874.890625
2021-06-24,7110.0,4266.490234375,28882.4609375,28875.23046875
2021-06-25,7136.10009765625,4280.7001953125,29288.220703125,29066.1796875
2021-06-28,7073.0,4290.60986328125,29268.30078125,29048.01953125
2021-06-29,7087.60009765625,4291.7998046875,28994.099609375,28812.609375
2021-06-30,7037.5,4297.5,28827.94921875,28791.529296875
2021-07-01,7125.2001953125,4319.93994140625,28827.94921875,28707.0390625
2021-07-02,7123.2998046875,4352.33984375,28310.419921875,28783.279296875
2021-07-05,7164.89990234375,4352.33984375,28143.5,28598.189453125
2021-07-06,7100.89990234375,4343.5400390625,28072.859375,28643.2109375
2021-07-07,7151.0,4358.1298828125,27960.619140625,28366.94921875
2021-07-08,7030.7001953125,4320.81982421875,27153.130859375,28118.029296875
2021-07-09,7121.89990234375,4369.5498046875,27344.5390625,27940.419921875
2021-07-12,7125.39990234375,4384.6298828125,27515.240234375,28569.01953125
2021-07-13,7124.7001953125,4369.2099609375,27963.41015625,28718.240234375
2021-07-14,7091.2001953125,4374.2998046875,27787.4609375,28608.490234375
2021-07-15,7012.0,4360.02978515625,27996.26953125,28279.08984375
2021-07-16,7008.10009765625,4327.16015625,28004.6796875,28003.080078125
2021-07-19,6844.39990234375,4258.490234375,27489.779296875,27652.740234375
2021-07-20,6881.10009765625,4323.06005859375,27259.25,27388.16015625
2021-07-21,6998.2998046875,4358.68994140625,27224.580078125,27548.0
2021-07-22,6968.2998046875,4367.47998046875,27723.83984375,27548.0
2021-07-23,7027.60009765625,4411.7900390625,27321.98046875,27548.0
2021-07-26,7025.39990234375,4422.2998046875,26192.3203125,27833.2890625
2021-07-27,6996.10009765625,4401.4599609375,25086.4296875,27970.220703125
2021-07-28,7016.60009765625,4400.64013671875,25473.880859375,27581.66015625
2021-07-29,7078.39990234375,4419.14990234375,26315.3203125,27782.419921875
2021-07-30,7032.2998046875,4395.259765625,25961.029296875,27283.58984375
2021-08-02,7081.7001953125,4387.16015625,26235.80078125,27781.01953125
2021-08-03,7105.7001953125,4423.14990234375,26194.8203125,27641.830078125
2021-08-04,7123.89990234375,4402.66015625,26426.55078125,27584.080078125
2021-08-05,7120.39990234375,4429.10009765625,26204.689453125,27728.119140625
2021-08-06,7123.0,4436.52001953125,26179.400390625,27820.0390625
2021-08-09,7132.2998046875,4432.35009765625,26283.400390625,27820.0390625
2021-08-10,7161.0,4436.75,26605.619140625,27888.150390625
2021-08-11,7220.10009765625,4442.41015625,26660.16015625,28070.509765625
2021-08-12,7193.2001953125,4460.830078125,26517.8203125,28015.01953125
2021-08-13,7218.7001953125,4468.0,26391.619140625,27977.150390625
2021-08-16,7154.0,4479.7099609375,26181.4609375,27523.189453125
2021-08-17,7181.10009765625,4448.080078125,25745.869140625,27424.470703125
2021-08-18,7169.2998046875,4400.27001953125,25867.009765625,27585.91015625
2021-08-19,7058.89990234375,4405.7998046875,25316.330078125,27281.169921875
2021-08-20,7087.89990234375,4441.669921875,24849.720703125,27013.25
2021-08-23,7109.0,4479.52978515625,25109.58984375,27494.240234375
2021-08-24,7125.7998046875,4486.22998046875,25727.919921875,27732.099609375
2021-08-25,7150.10009765625,4496.18994140625,25693.94921875,27724.80078125
2021-08-26,7125.0,4470.0,25415.689453125,27742.2890625
2021-08-27,7148.0,4509.3701171875,25407.890625,27641.140625
2021-08-30,7148.0,4528.7900390625,25539.5390625,27789.2890625
2021-08-31,7119.7001953125,4522.68017578125,25878.990234375,28089.5390625
2021-09-01,7149.7998046875,4524.08984375,26028.2890625,28451.01953125
2021-09-02,7163.89990234375,4536.9501953125,26090.4296875,28543.509765625
2021-09-03,7138.39990234375,4535.43017578125,25901.990234375,29128.109375
2021-09-06,7187.2001953125,4535.43017578125,26163.630859375,29659.890625
2021-09-07,7149.39990234375,4520.02978515625,26353.630859375,29916.140625
2021-09-08,7095.5,4514.06982421875,26320.9296875,30181.2109375
2021-09-09,7024.2001953125,4493.27978515625,25716.0,30008.189453125
2021-09-10,7029.2001953125,4458.580078125,26205.91015625,30381.83984375
2021-09-13,7068.39990234375,4468.72998046875,25813.810546875,30447.369140625
2021-09-14,7034.10009765625,4443.0498046875,25502.23046875,30670.099609375
2021-09-15,7016.5,4480.7001953125,25033.2109375,30511.7109375
2021-09-16,7027.5,4473.75,24667.849609375,30323.33984375
2021-09-17,6963.60009765625,4432.990234375,24920.759765625,30500.05078125
2021-09-20,6903.89990234375,4357.72998046875,24099.140625,30500.05078125
2021-09-21,6981.0,4354.18994140625,24221.5390625,29839.7109375
2021-09-22,7083.39990234375,4395.64013671875,24221.5390625,29639.400390625
2021-09-23,7078.39990234375,4448.97998046875,24510.98046875,29639.400390625
2021-09-24,7051.5,4455.47998046875,24192.16015625,30248.810546875
2021-09-27,7063.39990234375,4443.10986328125,24208.779296875,30240.060546875
2021-09-28,7028.10009765625,4352.6298828125,24500.390625,30183.9609375
2021-09-29,7108.2001953125,4359.4599609375,24663.5,29544.2890625
2021-09-30,7086.39990234375,4307.5400390625,24575.640625,29452.66015625
2021-10-01,7027.10009765625,4357.0400390625,24575.640625,28771.0703125
2021-10-04,7011.0,4300.4599609375,24036.369140625,28444.890625
2021-10-05,7077.10009765625,4345.72021484375,24104.150390625,27822.119140625
2021-10-06,6995.89990234375,4363.5498046875,23966.490234375,27528.869140625
2021-10-07,7078.0,4399.759765625,24701.73046875,27678.2109375
2021-10-08,7095.60009765625,4391.33984375,24837.849609375,28048.939453125
2021-10-11,7146.89990234375,4361.18994140625,25325.08984375,28498.19921875
2021-10-12,7130.2001953125,4350.64990234375,24962.58984375,28230.609375
2021-10-13,7141.7998046875,4363.7998046875,24962.58984375,28140.279296875
2021-10-14,7207.7001953125,4438.259765625,24962.58984375,28550.9296875
2021-10-15,7234.0,4471.3701171875,25330.9609375,29068.630859375
2021-10-18,7203.7998046875,4486.4599609375,25409.75,29025.4609375
2021-10-19,7217.5,4519.6298828125,25787.2109375,29215.51953125
2021-10-20,7223.10009765625,4536.18994140625,26136.01953125,29255.55078125
2021-10-21,7190.2998046875,4549.77978515625,26017.529296875,28708.580078125
2021-10-22,7204.60009765625,4544.89990234375,26126.9296875,28804.849609375
2021-10-25,7222.7998046875,4566.47998046875,26132.029296875,28600.41015625
2021-10-26,7277.60009765625,4574.7900390625,26038.26953125,29106.009765625
2021-10-27,7253.2998046875,4551.68017578125,25628.740234375,29098.240234375
2021-10-28,7249.5,4596.419921875,25555.73046875,28820.08984375
2021-10-29,7237.60009765625,4605.3798828125,25377.240234375,28892.689453125
2021-11-01,7288.60009765625,4613.669921875,25154.3203125,29647.080078125
2021-11-02,7274.7998046875,4630.64990234375,25099.669921875,29520.900390625
2021-11-03,7248.89990234375,4660.56982421875,25024.75,29520.900390625
2021-11-04,7279.89990234375,4680.06005859375,25225.189453125,29794.369140625
2021-11-05,7304.0,4697.52978515625,24870.509765625,29611.5703125
2021-11-08,7300.39990234375,4701.7001953125,24763.76953125,29507.05078125
2021-11-09,7274.0,4685.25,24813.130859375,29285.4609375
2021-11-10,7340.2001953125,4646.7099609375,24996.140625,29106.779296875
2021-11-11,7384.2001953125,4649.27001953125,25247.990234375,29277.859375
2021-11-12,7347.89990234375,4682.85009765625,25327.970703125,29609.970703125
2021-11-15,7351.89990234375,4682.7998046875,25390.91015625,29776.80078125
2021-11-16,7327.0,4700.89990234375,25713.779296875,29808.119140625
2021-11-17,7291.2001953125,4688.669921875,25650.080078125,29688.330078125
2021-11-18,7256.0,4704.5400390625,25319.720703125,29598.66015625
2021-11-19,7223.60009765625,4697.9599609375,25049.970703125,29745.869140625
2021-11-22,7255.5,4682.93994140625,24951.33984375,29774.109375
2021-11-23,7266.7001953125,4690.7001953125,24651.580078125,29774.109375
2021-11-24,7286.2998046875,4701.4599609375,24685.5,29302.66015625
2021-11-25,7310.39990234375,4701.4599609375,24740.16015625,29499.279296875
2021-11-26,7044.0,4594.6201171875,24080.51953125,28751.619140625
2021-11-29,7110.0,4655.27001953125,23852.240234375,28283.919921875
2021-11-30,7059.5,4567.0,23475.259765625,27821.759765625
2021-12-01,7168.7001953125,4513.0400390625,23658.919921875,27935.619140625
2021-12-02,7129.2001953125,4577.10009765625,23788.9296875,27753.369140625
2021-12-03,7122.2998046875,4538.43017578125,23766.689453125,28029.5703125
2021-12-06,7232.2998046875,4591.669921875,23349.380859375,27927.369140625
2021-12-07,7339.89990234375,4686.75,23983.66015625,28455.599609375
2021-12-08,7337.39990234375,4701.2099609375,23996.869140625,28860.619140625
2021-12-09,7321.2998046875,4667.4501953125,24254.859375,28725.470703125
2021-12-10,7291.7998046875,4712.02001953125,23995.720703125,28437.76953125
2021-12-13,7231.39990234375,4668.97021484375,23954.580078125,28640.490234375
2021-12-14,7218.60009765625,4634.08984375,23635.94921875,28432.640625
2021-12-15,7170.7998046875,4709.85009765625,23420.759765625,28459.720703125
2021-12-16,7260.60009765625,4668.669921875,23475.5,29066.3203125
2021-12-17,7269.89990234375,4620.64013671875,23192.630859375,28545.6796875
2021-12-20,7198.0,4568.02001953125,22744.859375,27937.810546875
2021-12-21,7297.39990234375,4649.22998046875,22971.330078125,28517.58984375
2021-12-22,7341.7001953125,4696.56005859375,23102.330078125,28562.2109375
2021-12-23,7373.2998046875,4725.7900390625,23193.640625,28798.369140625
2021-12-24,7372.10009765625,4725.7900390625,23223.759765625,28782.58984375
2021-12-27,7372.10009765625,4791.18994140625,23223.759765625,28676.4609375
2021-12-28,7372.10009765625,4786.35009765625,23280.560546875,29069.16015625
2021-12-29,7420.7001953125,4793.06005859375,23086.5390625,28906.880859375
2021-12-30,7403.0,4778.72998046875,23112.009765625,28791.7109375
2021-12-31,7384.5,4766.18017578125,23397.669921875,28791.7109375
2022-01-03,7384.5,4796.56005859375,23274.75,28791.7109375
2022-01-04,7505.2001953125,4793.5400390625,23289.83984375,29301.7890625
2022-01-05,7516.89990234375,4700.580078125,22907.25,29332.16015625
2022-01-06,7450.39990234375,4696.0498046875,23072.859375,28487.869140625
2022-01-07,7485.2998046875,4677.02978515625,23493.380859375,28478.560546875
2022-01-10,7445.2998046875,4670.2900390625,23746.5390625,28478.560546875
2022-01-11,7491.39990234375,4713.06982421875,23739.060546875,28222.48046875
2022-01-12,7551.7001953125,4726.35009765625,24402.169921875,28765.66015625
2022-01-13,7563.89990234375,4659.02978515625,24429.76953125,28489.130859375
2022-01-14,7543.0,4662.85009765625,24383.3203125,28124.279296875
2022-01-17,7611.2001953125,4662.85009765625,24218.029296875,28333.51953125
2022-01-18,7563.60009765625,4577.10986328125,24112.779296875,28257.25
2022-01-19,7589.7001953125,4532.759765625,24127.849609375,27467.23046875
2022-01-20,7585.0,4482.72998046875,24952.349609375,27772.9296875
2022-01-21,7494.10009765625,4397.93994140625,24965.55078125,27522.259765625
2022-01-24,7297.2001953125,4410.1298828125,24656.4609375,27588.369140625
2022-01-25,7371.5,4356.4501953125,24243.609375,27131.33984375
2022-01-26,7469.7998046875,4349.93017578125,24289.900390625,27011.330078125
2022-01-27,7554.2998046875,4326.509765625,23807.0,26170.30078125
2022-01-28,7466.10009765625,4431.85009765625,23550.080078125,26717.33984375
2022-01-31,7464.39990234375,4515.5498046875,23802.259765625,27001.98046875
2022-02-01,7535.7998046875,4546.5400390625,23802.259765625,27078.48046875
2022-02-02,7583.0,4589.3798828125,23802.259765625,27533.599609375
2022-02-03,7528.7998046875,4477.43994140625,23802.259765625,27241.310546875
2022-02-04,7516.39990234375,4500.52978515625,24573.2890625,27439.990234375
2022-02-07,7573.5,4483.8701171875,24579.55078125,27248.869140625
2022-02-08,7567.10009765625,4521.5400390625,24329.490234375,27284.51953125
2022-02-09,7643.39990234375,4587.18017578125,24829.990234375,27579.869140625
2022-02-10,7672.39990234375,4504.080078125,24924.349609375,27696.080078125
2022-02-11,7661.0,4418.64013671875,24906.66015625,27696.080078125
2022-02-14,7531.60009765625,4401.669921875,24556.5703125,27079.58984375
2022-02-15,7608.89990234375,4471.06982421875,24355.7109375,26865.189453125
2022-02-16,7603.7998046875,4475.009765625,24718.900390625,27460.400390625
2022-02-17,7537.39990234375,4380.259765625,24792.76953125,27232.869140625
2022-02-18,7513.60009765625,4348.8701171875,24327.7109375,27122.0703125
2022-02-21,7484.2998046875,4348.8701171875,24170.0703125,26910.869140625
2022-02-22,7494.2001953125,4304.759765625,23520.0,26449.609375
2022-02-23,7498.2001953125,4225.5,23660.279296875,26449.609375
2022-02-24,7207.0,4288.7001953125,22901.560546875,25970.8203125
2022-02-25,7489.5,4384.64990234375,22767.1796875,26476.5
2022-02-28,7458.2998046875,4373.93994140625,22713.01953125,26526.8203125
2022-03-01,7330.2001953125,4306.259765625,22761.7109375,26844.720703125
2022-03-02,7429.60009765625,4386.5400390625,22343.919921875,26393.029296875
2022-03-03,7238.89990234375,4363.490234375,22467.33984375,26577.26953125
2022-03-04,6987.10009765625,4328.8701171875,21905.2890625,25985.470703125
2022-03-07,6959.5,4201.08984375,21057.630859375,25221.41015625
2022-03-08,6964.10009765625,4170.7001953125,20765.869140625,24790.94921875
2022-03-09,7190.7001953125,4277.8798828125,20627.7109375,24717.529296875
2022-03-10,7099.10009765625,4259.52001953125,20890.259765625,25690.400390625
2022-03-11,7155.60009765625,4204.31005859375,20553.7890625,25162.779296875
2022-03-14,7193.5,4173.10986328125,19531.66015625,25307.849609375
2022-03-15,7175.7001953125,4262.4501953125,18415.080078125,25346.48046875
2022-03-16,7291.7001953125,4357.85986328125,20087.5,25762.009765625
2022-03-17,7385.2998046875,4411.669921875,21501.23046875,26652.890625
2022-03-18,7404.7001953125,4463.1201171875,21412.400390625,26827.4296875
2022-03-21,7442.39990234375,4461.18017578125,21221.33984375,26827.4296875
2022-03-22,7476.7001953125,4511.60986328125,21889.279296875,27224.109375
2022-03-23,7460.60009765625,4456.240234375,22154.080078125,28040.16015625
2022-03-24,7467.39990234375,4520.16015625,21945.94921875,28110.390625
2022-03-25,7483.39990234375,4543.06005859375,21404.880859375,28149.83984375
2022-03-28,7473.10009765625,4575.52001953125,21684.970703125,27943.890625
2022-03-29,7537.2998046875,4631.60009765625,21927.630859375,28252.419921875
2022-03-30,7578.7998046875,4602.4501953125,22232.029296875,28027.25
2022-03-31,7515.7001953125,4530.41015625,21996.849609375,27821.4296875
2022-04-01,7537.89990234375,4545.85986328125,22039.55078125,27665.98046875
2022-04-04,7558.89990234375,4582.64013671875,22502.310546875,27736.470703125
2022-04-05,7613.7001953125,4525.1201171875,22502.310546875,27787.98046875
2022-04-06,7587.7001953125,4481.14990234375,22080.51953125,27350.30078125
2022-04-07,7551.7998046875,4500.2099609375,21808.98046875,26888.5703125
2022-04-08,7669.60009765625,4488.27978515625,21872.009765625,26985.80078125
2022-04-11,7618.2998046875,4412.52978515625,21208.30078125,26821.51953125
2022-04-12,7576.7001953125,4397.4501953125,21319.130859375,26334.98046875
2022-04-13,7580.7998046875,4446.58984375,21374.369140625,26843.490234375
2022-04-14,7616.39990234375,4392.58984375,21518.080078125,27172.0
2022-04-15,7616.39990234375,4392.58984375,21518.080078125,27093.189453125
2022-04-18,7616.39990234375,4391.68994140625,21518.080078125,26799.7109375
2022-04-19,7601.2998046875,4462.2099609375,21027.759765625,26985.08984375
2022-04-20,7629.2001953125,4459.4501953125,20944.669921875,27217.849609375
2022-04-21,7628.0,4393.66015625,20682.220703125,27553.060546875
2022-04-22,7521.7001953125,4271.77978515625,20638.51953125,27105.259765625
2022-04-25,7380.5,4296.1201171875,19869.33984375,26590.779296875
2022-04-26,7386.2001953125,4175.2001953125,19934.7109375,26700.109375
2022-04-27,7425.60009765625,4183.9599609375,19946.359375,26386.630859375
2022-04-28,7509.2001953125,4287.5,20276.169921875,26847.900390625
2022-04-29,7544.60009765625,4131.93017578125,21089.390625,26847.900390625
2022-05-02,7544.60009765625,4155.3798828125,21089.390625,26818.529296875
2022-05-03,7561.2998046875,4175.47998046875,21101.890625,26818.529296875
2022-05-04,7493.5,4300.169921875,20869.51953125,26818.529296875
2022-05-05,7503.2998046875,4146.8701171875,20793.400390625,26818.529296875
2022-05-06,7387.89990234375,4123.33984375,20001.9609375,27003.560546875
2022-05-09,7216.60009765625,3991.239990234375,20001.9609375,26319.33984375
2022-05-10,7243.2001953125,4001.050048828125,19633.689453125,26167.099609375
2022-05-11,7347.7001953125,3935.179931640625,19824.5703125,26213.640625
2022-05-12,7233.2998046875,3930.080078125,19380.33984375,25748.720703125
2022-05-13,7418.2001953125,4023.889892578125,19898.76953125,26427.650390625
2022-05-16,7464.7998046875,4008.010009765625,19950.2109375,26547.05078125
2022-05-17,7518.39990234375,4088.85009765625,20602.51953125,26659.75
2022-05-18,7438.10009765625,3923.679931640625,20644.279296875,26911.19921875
2022-05-19,7302.7001953125,3900.7900390625,20120.6796875,26402.83984375
2022-05-20,7390.0,3901.360107421875,20717.240234375,26739.029296875
2022-05-23,7513.39990234375,3973.75,20470.060546875,27001.51953125
2022-05-24,7484.39990234375,3941.47998046875,20112.099609375,26748.140625
2022-05-25,7522.7998046875,3978.72998046875,20171.26953125,26677.80078125
2022-05-26,7564.89990234375,4057.840087890625,20116.19921875,26604.83984375
2022-05-27,7585.5,4158.240234375,20697.359375,26781.6796875
2022-05-30,7600.10009765625,4158.240234375,21123.9296875,27369.4296875
2022-05-31,7607.7001953125,4132.14990234375,21415.19921875,27279.80078125
2022-06-01,7533.0,4101.22998046875,21294.939453125,27457.890625
2022-06-02,7533.0,4176.81982421875,21082.130859375,27413.880859375
2022-06-03,7533.0,4108.5400390625,21082.130859375,27761.5703125
2022-06-06,7608.2001953125,4121.43017578125,21653.900390625,27915.890625
2022-06-07,7598.89990234375,4160.68017578125,21531.669921875,27943.94921875
2022-06-08,7593.0,4115.77001953125,22014.58984375,28234.2890625
2022-06-09,7476.2001953125,4017.820068359375,21869.05078125,28246.529296875
2022-06-10,7317.5,3900.860107421875,21806.1796875,27824.2890625
2022-06-13,7205.7998046875,3749.6298828125,21067.580078125,26987.439453125
2022-06-14,7187.5,3735.47998046875,21067.990234375,26629.859375
2022-06-15,7273.39990234375,3789.989990234375,21308.2109375,26326.16015625
2022-06-16,7045.0,3666.77001953125,20845.4296875,26431.19921875
2022-06-17,7016.2998046875,3674.840087890625,21075.0,25963.0
2022-06-20,7121.7998046875,3674.840087890625,21163.91015625,25771.220703125
2022-06-21,7152.10009765625,3764.7900390625,21559.58984375,26246.310546875
2022-06-22,7089.2001953125,3759.889892578125,21008.33984375,26149.55078125
2022-06-23,7020.5,3795.72998046875,21273.869140625,26171.25
2022-06-24,7208.7998046875,3911.739990234375,21719.060546875,26491.970703125
2022-06-27,7258.2998046875,3900.110107421875,22229.51953125,26871.26953125
2022-06-28,7323.39990234375,3821.550048828125,22418.970703125,27049.470703125
